avg_latency_ms,avg_retries,calls,condition,first_try_valid,model,output_dir,pass_at_1,pass_at_1_high,pass_at_1_low,pass_at_1_medium,pass_at_1_overall,selections,steps,tasks,token_input,token_output,tool_select_acc,tool_switches
7.931303406248702,0.9375,32.0,,0.6875,,,0.0625,,0.07692307692307693,0.0,0.0625,10.0,32.0,10,64173.75,3354.25,0.4,10.0
11.41434884313729,0.27450980392156865,51.0,,0.7254901960784313,,,0.7254901960784313,0.8571428571428571,0.8571428571428571,0.5652173913043478,0.7254901960784313,10.0,51.0,10,257577.25,11316.5,1.0,9.0
12.615842792462969,0.3018867924528302,53.0,,0.6226415094339622,,,0.6981132075471698,0.75,0.8571428571428571,0.5416666666666666,0.6981132075471698,10.0,53.0,10,299417.75,14506.0,1.0,9.0
9.947651500001943,0.19230769230769232,52.0,,0.8076923076923077,,,0.8076923076923077,,0.8571428571428571,0.6,0.8076923076923077,10.0,52.0,10,163848.75,9508.75,0.4,10.0
12.785686828574073,0.7714285714285715,35.0,,0.6571428571428571,,,0.22857142857142856,0.0,0.07692307692307693,0.3684210526315789,0.22857142857142856,10.0,35.0,10,148330.0,7337.5,1.0,9.0
11.41434884313729,0.27450980392156865,51.0,BASE,0.7254901960784313,"{'provider': 'ollama', 'name': 'qwen2.5:7b-instruct', 'base_url': 'http://localhost:11434'}",runs/qwen_ablation_full/qwen2-5-7b-instruct_base,0.7254901960784313,0.8571428571428571,0.8571428571428571,0.5652173913043478,0.7254901960784313,10.0,51.0,10,257577.25,11316.5,1.0,9.0
9.947651500001943,0.19230769230769232,52.0,+RET,0.8076923076923077,"{'provider': 'ollama', 'name': 'qwen2.5:7b-instruct', 'base_url': 'http://localhost:11434'}",runs/qwen_ablation_full/qwen2-5-7b-instruct_ret,0.8076923076923077,,0.8571428571428571,0.6,0.8076923076923077,10.0,52.0,10,163848.75,9508.75,0.4,10.0
12.785686828574073,0.7714285714285715,35.0,+WRAP,0.6571428571428571,"{'provider': 'ollama', 'name': 'qwen2.5:7b-instruct', 'base_url': 'http://localhost:11434'}",runs/qwen_ablation_full/qwen2-5-7b-instruct_wrap,0.22857142857142856,0.0,0.07692307692307693,0.3684210526315789,0.22857142857142856,10.0,35.0,10,148330.0,7337.5,1.0,9.0
12.615842792462969,0.3018867924528302,53.0,+SLOT,0.6226415094339622,"{'provider': 'ollama', 'name': 'qwen2.5:7b-instruct', 'base_url': 'http://localhost:11434'}",runs/qwen_ablation_full/qwen2-5-7b-instruct_slot,0.6981132075471698,0.75,0.8571428571428571,0.5416666666666666,0.6981132075471698,10.0,53.0,10,299417.75,14506.0,1.0,9.0
7.931303406248702,0.9375,32.0,FULL,0.6875,"{'provider': 'ollama', 'name': 'qwen2.5:7b-instruct', 'base_url': 'http://localhost:11434'}",runs/qwen_ablation_full/qwen2-5-7b-instruct_full,0.0625,,0.07692307692307693,0.0,0.0625,10.0,32.0,10,64173.75,3354.25,0.4,10.0
